Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","NLD","Pays-Bas","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","16568.104","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","PER","Pérou","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","28562.317","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","PHL","Philippines","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","90901.965","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","POL","Pologne","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","38356.786","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","PYF","Polynésie française","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","264.061","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","PRI","Porto Rico","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","3608.032","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","PRT","Portugal","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","10595.314","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","QAT","Qatar","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1436.665","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","SYR","République arabe syrienne","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","20664.038","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","CAF","République centrafricaine","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","4273.366","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","KOR","République de Corée","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","49182.456","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MDA","République de Moldova","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","4112.891","X","Sources internationales sûres",""
